domain,experiment,variant,seed,F1,ApexMAE,OnsetMAE,DurMAE,IntMAPE
elc,ar_ablation_v2,GD1_no_pos_mask,123.0,0.0,,,,
elc,ar_ablation_v2,GD1_no_pos_mask,42.0,0.0003578457684737878,0.0,0.0,0.0,0.1259259259259258
elc,ar_ablation_v2,GD1_no_pos_mask,456.0,0.0,,,,
elc,ar_ablation_v2,GD2_no_pos_smooth,123.0,0.7586518478359086,1.0295378751786566,1.1303001429252024,0.4885659838018104,0.10348858494413841
elc,ar_ablation_v2,GD2_no_pos_smooth,42.0,0.7424508426966291,1.2345708205249468,1.1747458027902578,0.6585481201229605,0.10613744696437302
elc,ar_ablation_v2,GD2_no_pos_smooth,456.0,0.7851069542647453,1.1534427724578202,1.1035111719106248,0.6388508891928865,0.100117399971336
elc,ar_ablation_v2,GD3_no_attr_weight,123.0,0.8070977773712613,0.9626019945602902,1.0321849501359928,0.5163191296464189,0.11107756776284271
elc,ar_ablation_v2,GD3_no_attr_weight,42.0,0.7923576063446287,1.0454959053685169,1.1426296633303004,0.4997725204731574,0.1267247168670115
elc,ar_ablation_v2,GD3_no_attr_weight,456.0,0.8023675205770832,0.9289995389580452,1.0544029506685109,0.4797141539880129,0.1150739516074954
elc,ar_ablation_v2,GD4_no_causal,123.0,0.23337363966142685,1.4293116210214656,4.46780162842339,0.6402664692820134,0.17282756012470435
elc,ar_ablation_v2,GD4_no_causal,42.0,0.15749918309552338,1.5421853388658369,15.112033195020746,0.5546334716459198,0.14956276580536632
elc,ar_ablation_v2,GD4_no_causal,456.0,0.15318050705935934,1.669970267591675,6.352824578790882,0.5064420218037661,0.12813620072670256
elc,arch_ablation_v2,G0_full,123.0,0.8023444544634806,1.1112609575185435,1.1180040458530007,0.5666441897055519,0.10227634428412265
elc,arch_ablation_v2,G0_full,42.0,0.7762769478486448,1.1364369670430974,1.1788430513943304,0.5498962894676193,0.10574508736168105
elc,arch_ablation_v2,G0_full,456.0,0.8042983334851107,1.0251358695652173,1.051856884057971,0.5070199275362319,0.09981790138209906
elc,arch_ablation_v2,GS1_wo_mempos,123.0,0.7293889427740058,1.1375725338491296,1.118955512572534,0.5645551257253385,0.11949561873238645
elc,arch_ablation_v2,GS1_wo_mempos,42.0,0.7223113964686999,1.1493827160493828,1.1496296296296296,0.5503703703703704,0.11946295187611569
elc,arch_ablation_v2,GS1_wo_mempos,456.0,0.7371517881768871,1.1197306061361936,1.1608880019955101,0.51334497380893,0.12165306202422384
elc,arch_ablation_v2,GS2_wo_sa,123.0,0.7433037674541143,1.0574196597353498,1.0916824196597354,0.5637996219281664,0.10306227738559133
elc,arch_ablation_v2,GS2_wo_sa,42.0,0.7745716862037871,1.2274738067520372,1.259604190919674,0.5154831199068685,0.1034683830535823
elc,arch_ablation_v2,GS2_wo_sa,456.0,0.7691335740072203,1.1333020417742314,1.1424548228115465,0.5376672142689509,0.10277510206270153
elc,arch_ablation_v2,GS3_bare,123.0,0.6875838026280504,1.077223088923557,1.1157046281851275,0.5075403016120645,0.12008323613849207
elc,arch_ablation_v2,GS3_bare,42.0,0.6853243500043189,1.175951600705823,1.125283589614318,0.5699521048651374,0.11318135697111413
elc,arch_ablation_v2,GS3_bare,456.0,0.775710964049365,1.0032280378141571,1.0915379294443164,0.48120820843901313,0.11602843049768377
elc,arch_ablation_v2,GS4_cnn,123.0,0.7777371595686347,1.1981198589894242,1.1687426556991773,0.5050528789659224,0.09926005207077339
elc,arch_ablation_v2,GS4_cnn,42.0,0.8017540654120225,1.201686417502279,1.1629443938012762,0.5157247037374658,0.10542515416587675
elc,arch_ablation_v2,GS4_cnn,456.0,0.7900808429466799,1.2287882271786617,1.2237295930098873,0.5109220510462176,0.10023679593093329
elc,arch_ablation_v2,GS4_lstm,123.0,0.789588245964085,1.2476453020905123,1.226280725936136,0.5189524465885597,0.09832541797898288
elc,arch_ablation_v2,GS4_lstm,42.0,0.7734260614934114,1.3170847136772361,1.2943681968764789,0.5151443445338382,0.09251485987745636
elc,arch_ablation_v2,GS4_lstm,456.0,0.6935556965467236,1.312598013591218,1.3761108207004704,0.5052273915316258,0.10131822382906912
elc,arch_ablation_v2,GS4_mlp,123.0,0.801466544454629,1.2127172918572735,1.192131747483989,0.5182982616651418,0.10421031229699032
elc,arch_ablation_v2,GS4_mlp,42.0,0.8022442972774098,1.196514560880532,1.2384774134372851,0.4907131391882596,0.10304545908293358
elc,arch_ablation_v2,GS4_mlp,456.0,0.7806094182825485,1.1629997634255973,1.2228530872959547,0.4679441684409747,0.10698569597889976
elc,arch_ablation_v2,GS4_scratch,123.0,0.7676527154501327,1.2825101407778574,1.2197566213314244,0.5602481507993319,0.09716171042752317
elc,arch_ablation_v2,GS4_scratch,42.0,0.8247898771589544,1.194400895856663,1.167973124300112,0.5135498320268757,0.09767609892915365
elc,arch_ablation_v2,GS4_scratch,456.0,0.7910120569967117,1.174133949191686,1.2122401847575057,0.4956120092378753,0.09717510340597464
elc,arch_ablation_v2,GS5_detr,123.0,0.5921084878686382,1.030905077262693,3.1647350993377485,0.5711920529801324,0.14403009790926613
elc,arch_ablation_v2,GS5_detr,42.0,0.5664554758755135,1.0464601769911503,7.380776794493609,0.5115535889872173,0.1272956253746282
elc,arch_ablation_v2,GS5_detr,456.0,0.5727927363807139,0.9740366220278764,3.840120251434818,0.5039628313746926,0.12190377262263528
elc,grid_search,w1,123.0,0.8008988764044943,1.0381593714927049,1.0668911335578002,0.500561167227834,0.1252391241027795
elc,grid_search,w1,42.0,0.8046738430398381,1.250400182940773,1.2526869426023326,0.5440201234850217,0.12578580539045595
elc,grid_search,w1,456.0,0.7781961628115474,1.0158986175115208,1.123963133640553,0.5368663594470046,0.12335359132503483
elc,grid_search,w2,123.0,0.7869318181818181,1.068817689530686,1.1098826714801444,0.575812274368231,0.12659322150276206
elc,grid_search,w2,42.0,0.8131424375917767,1.1399548532731376,1.169525959367946,0.5498871331828442,0.1220492806303402
elc,grid_search,w2,456.0,0.8139770114942528,0.9970628106642566,1.1098056936285585,0.4868956168097605,0.12738112114062725
elc,grid_search,w3,123.0,0.7757855494407954,1.074141876430206,1.094050343249428,0.5963386727688788,0.12397507794479774
elc,grid_search,w3,42.0,0.8020727306375497,1.1670512228887864,1.1642824180895246,0.5422242731887402,0.12631643146634502
elc,grid_search,w3,456.0,0.7855923830054792,1.090784358563915,1.185227532586325,0.526869426023325,0.1243277876735654
elc,grid_search,w4,123.0,0.7703611898016997,1.0618248678464721,1.0852677545391864,0.605148241783498,0.12422539242510108
elc,grid_search,w4,42.0,0.7900063827847177,1.1668975069252077,1.2082179132040627,0.567174515235457,0.13024237778429512
