dataset,pred_len,method,n_runs,F1_mean,F1_std,OnsetMAE_mean,OnsetMAE_std,ApexMAE_mean,ApexMAE_std,DurMAE_mean,DurMAE_std,IntMAPE_mean,IntMAPE_std
elc,96,DLinear,3,0.7065501499024633,0.0039559305320359,1.5662602404202322,0.1432540449749987,1.4094586444549566,0.119097323085869,0.5425494362529295,0.0141982210079763,0.112929843573054,0.00065334169321
elc,96,PatchTST,3,0.6402152646052435,0.0138498935304536,1.4086448729722718,0.0446146555648031,1.275704787321944,0.0148888407733444,0.6591633672492277,0.0055762721376848,0.0914839791010121,0.0012313726374036
elc,96,Seq2Peak,3,0.5047734250139502,0.035216802111561,1.8011863362243463,0.0806418495301897,1.6317651791171288,0.0892361003433788,0.6131960317204111,0.0238761738247158,0.1000865677769783,0.0047986441029796
elc,96,TimeMixer,3,0.5422285240058927,0.0023370405653868,1.5399936299549406,0.0174183719533102,1.39917221997222,0.0283383081525114,0.9568875543032944,0.0182302941503295,0.0811725692568178,0.0018838722197943
elc,96,iTransformer,3,0.7079711777901886,0.0314642151817279,1.3823149166893167,0.04626513279783,1.2362509682929783,0.0366704293052141,0.5976528701202067,0.0277485022402932,0.0808052727432479,0.0008841574817653
elc,168,DLinear,3,0.7061814495270564,0.0047908579621801,1.5413656346138904,0.0081416872027024,1.415298264251825,0.0020469418317859,0.5483949202489232,0.0134532488924147,0.1026205933941325,0.0006086993103146
elc,168,PatchTST,3,0.6617582495015352,0.0069125624134232,1.3280167748657694,0.0132228576521599,1.189734850916709,0.0209490095045269,0.628394570232725,0.0140959799711612,0.0928598072021492,0.0015722351727785
elc,168,Seq2Peak,3,0.4876987370810297,0.1017669725247451,1.8024015407516367,0.1590316035765532,1.6949565495581982,0.0631497080998592,0.5653635985572224,0.0564916498110255,0.1042903931125178,0.0012389969637878
elc,168,TimeMixer,3,0.5455885165133371,0.0038777348321697,1.5565420466960802,0.062160207406118,1.449671575500013,0.0516213255811225,0.9129853670901892,0.025977706570384,0.0884135531655779,0.0011753026388307
elc,168,iTransformer,3,0.7001093831808566,0.0059128887987675,1.3571121291535606,0.0044422695009948,1.2013430991359042,0.0065742404977012,0.5950010479870339,0.0086831697323416,0.0829873301078173,0.0007373870321022
elc,336,DLinear,3,0.7142823937972533,0.0011669630477667,1.5587164825789646,0.0639269995907461,1.4292907521622322,0.0368848054900394,0.5597951837039945,0.0216138723534741,0.10470100537129,0.0002289979108078
elc,336,PatchTST,3,0.6239432746563794,0.0403712838181205,1.4546941739348505,0.051485393656233,1.3180685282644342,0.0380764832047375,0.7055000434294648,0.0867952396812382,0.0966692579430507,0.0054851380985729
elc,336,Seq2Peak,3,0.6000560070926465,0.0727357607079168,1.985151721958875,0.1855040395676218,1.8801974987761347,0.1820843373068494,0.511773463189217,0.0475084389944356,0.1117854491785261,0.0050128092626324
elc,336,TimeMixer,3,0.5359662140076574,0.0121882639071485,1.5703299495372154,0.0384519718740296,1.4620470041821247,0.030977111152809,0.9610465787805502,0.0393236238151401,0.0945548942403572,0.0035812587668905
elc,336,iTransformer,3,0.6777306032154167,0.002215540640198,1.4582178864060271,0.0034620892264256,1.288523332441838,0.0033909514563159,0.6485102875807108,0.0048648923324009,0.0893683750135767,0.000387841070578
ett,96,DLinear,3,0.5444763253492061,0.0064673025572954,1.5031177629790848,0.0781980321679583,1.303159879409994,0.0787374606926275,0.9758888994335528,0.0262545273412509,0.2295858238219077,0.0028805890557835
ett,96,PatchTST,3,0.630956920188443,0.0095765240676597,1.0075435354480775,0.0183534117768312,0.9288790731911574,0.0159750040940354,0.4878772789377613,0.0229121830633204,0.2133564021792571,0.0023719176830234
ett,96,Seq2Peak,3,0.616506717516995,0.0274790990880626,1.369048722517947,0.0896636421248989,1.3326514911004728,0.1156027204764368,0.4466833992589573,0.0585364323876565,0.2245617283534341,0.0007824910991584
ett,96,TimeMixer,3,0.5365729819335687,0.0093644416014529,1.4181733027775802,0.0543101796918772,1.2314194369729343,0.0617297158089798,1.0593520226673887,0.0244801921905551,0.218216272691283,0.0018088341077191
ett,96,iTransformer,3,0.6737461617006087,0.0272073092081186,0.9031574453344234,0.0351585839399602,0.8368022003394883,0.0274358737553771,0.3668960426206268,0.0159482412400168,0.2095817899676141,0.0017559037712292
ett,168,DLinear,3,0.5504852433806445,0.0066337953943068,1.4292919582674608,0.09786810998756,1.2496765465808688,0.0772150376800277,0.9562185470339196,0.011824243741852,0.2312612334695052,7.754274922021963e-05
ett,168,PatchTST,3,0.6091631573508787,0.02274495002907,1.0756922280821255,0.0814298608915913,0.9676248819677988,0.0653871395876977,0.5520008473340009,0.0969317973268075,0.2260875622688908,0.0018947812307221
ett,168,Seq2Peak,3,0.5794495365757562,0.0223610298613267,1.594567652329749,0.0826287221479745,1.5500672043010753,0.0450523018438979,0.3607414874551971,0.0448585605348151,0.2287640591587912,0.0010487614155236
ett,168,TimeMixer,3,0.5305162774922364,0.0028753461021573,1.5244133405968103,0.0589293364095473,1.3102869014517151,0.0526336794229783,1.11836747896627,0.0266040033301164,0.2304318999724282,0.0006415566827339
ett,168,iTransformer,3,0.6244968689975822,0.0404972199922397,1.0284731600905364,0.1109606683514171,0.9303302335073416,0.083377156882826,0.5015492245800235,0.1314409108173588,0.2244995608826547,0.0040435613408719
ett,336,DLinear,3,0.5413901129033821,0.0186005562907619,1.4691137854808984,0.0359436571658827,1.2601942267322184,0.0648870220154531,1.0355842454359248,0.0673235417680945,0.229748167287667,0.0028948273188853
ett,336,PatchTST,3,0.6102064152906496,0.0133370429466613,1.0528900905406011,0.0434031697506885,0.9637260760616332,0.0334942879794496,0.5500739783014228,0.0657818680178927,0.2301339440355663,0.0012437363094392
ett,336,Seq2Peak,3,0.5888518848218238,0.0263001611685415,1.8171964269361656,0.0235619431574912,1.792796467484705,0.0292079725919486,0.3246034421162327,0.0308884443530001,0.2270296332933431,0.0016627778589952
ett,336,TimeMixer,3,0.5144916501289992,0.0054551977042255,1.603987429678016,0.0552877859283181,1.4168848239293768,0.0495359612813275,1.2185599044560451,0.0196880369733058,0.231710522375905,0.0012350941372565
ett,336,iTransformer,3,0.6186955236990564,0.0201298219804735,1.0325121340309549,0.0927873439447996,0.9379511806780227,0.0699873772031467,0.4994134198119863,0.1164427173241166,0.2267272245891362,0.0027519594571339
wlel,96,DLinear,3,0.8129132787078689,0.0064245558383671,1.6874166751602095,0.0540300196582674,1.411832913387821,0.0352770524262823,0.6350514621512601,0.0106584603012206,0.0715946318796518,0.0004088420864011
