domain,variant,F1_mean,F1_std,ApexMAE_mean,ApexMAE_std,OnsetMAE_mean,OnsetMAE_std,DurMAE_mean,DurMAE_std,IntMAPE_mean,IntMAPE_std
elc,GP1a_wo_has_apex,0.8051438462082224,0.0034569106193225864,1.108874274302419,0.04782845998444073,1.1131784650056027,0.03276062579529359,0.5171435381252262,0.01903009803221501,0.10371712150456519,0.0024615555493707076
elc,GP1b_wo_distance,0.7741376727651564,0.023885570968396542,1.1030666505157782,0.03817493894520676,1.1355342763436174,0.03265652223872399,0.5160184127018983,0.029308064536401654,0.10260507883790936,0.0016888020513944964
elc,GP1c_wo_phase,0.7783192903376709,0.014363417534292863,1.0911028138418726,0.06684472726962742,1.122559447565405,0.0776603648267619,0.511433822025749,0.011942643763904361,0.10292786228612115,0.0031853589461597913
elc,GP1d_wo_offset,0.7744081822346235,0.028410476408679487,1.0619602457941364,0.04359114727998929,1.0956798252863453,0.032913566142459716,0.5067698338088832,0.008434196450416534,0.10260188192976753,0.0005818740660911033
elc,GP1e_generic_npp,0.8036133609612698,0.02646559072457055,1.210566496396446,0.046843540835141535,1.1947222158296118,0.011886235721287984,0.5254828402473776,0.013685393252149918,0.1007115655068437,0.0009686012378581428
ett,GP1a_wo_has_apex,0.8533762439866609,0.0016948643012647403,0.673887698902623,0.006645693088703194,0.7268138730325084,0.007450007369732657,0.21316945432078827,0.0007306168203688648,0.25248192056891805,0.010915550915345682
ett,GP1b_wo_distance,0.8523359326807353,0.0023574952117782206,0.6598400746955122,0.031349914839665365,0.7122380530063125,0.03230652729959372,0.21476162084799955,0.0013460499506096429,0.2600674307685676,0.018824920451519785
ett,GP1c_wo_phase,0.853751089384836,0.0033090588617729986,0.6557869571075704,0.01872507244427118,0.7070771665258566,0.019500101193301995,0.21425933249785564,0.0008386482244293021,0.25725130304478966,0.005290077797222843
ett,GP1d_wo_offset,0.8520107862035798,0.0037611257420510883,0.6668546314725182,0.01713892554441521,0.7216214480848316,0.02188218820106089,0.21498218584748685,0.002683680645887532,0.25122604291269396,0.008972708870301913
ett,GP1e_generic_npp,0.8504752471878921,0.007200994248201293,0.6786697812144286,0.026174802697551805,0.7340945044457458,0.029662056564120617,0.21508525374619522,0.0021222506707852416,0.24420373299592912,0.006924459405760703
wlel,GP1a_wo_has_apex,0.8366119256963699,0.012189183490274468,0.7153585490927816,0.036516892727384266,0.7603557777053965,0.05411995300787409,0.4289943920176174,0.010652004967612727,0.07494930454723504,0.0026153847474491873
wlel,GP1b_wo_distance,0.8368865044990454,0.011286959805508888,0.7070716101233723,0.01755075626838235,0.7406231088182059,0.01762084840268414,0.42545527625482116,0.008650022844375334,0.07508754233302513,0.0023197735714924044
wlel,GP1c_wo_phase,0.8406635029465027,0.004010648084211473,0.6965220403607532,0.01654042905208297,0.7352634218862276,0.021338813325132766,0.42259242715322526,0.006666895233553808,0.07599978882915094,0.004374125559248891
wlel,GP1d_wo_offset,0.8414243586890295,0.00437645734025508,0.7523086046883019,0.010000709496088774,0.8018944854531131,0.010479735879209561,0.48507080552938303,0.01674761107163409,0.07209704065971133,0.0016991262234535554
wlel,GP1e_generic_npp,0.8422415551610921,0.00399328124635303,0.832905238152418,0.06037392071238349,0.8989093862958324,0.06680004186027969,0.4768792196079787,0.017652254964239784,0.06866336497639043,0.0029210680148450134
